varaktighet,kvartal,"Fasta priser, referensår 2025, mnkr"
1112 övriga varaktiga varor,2007K4,17856
1112 övriga varaktiga varor,2008K1,14116
1112 övriga varaktiga varor,2008K2,16625
1112 övriga varaktiga varor,2008K3,15880
1112 övriga varaktiga varor,2008K4,17668
1112 övriga varaktiga varor,2009K1,13657
1112 övriga varaktiga varor,2009K2,16139
1112 övriga varaktiga varor,2009K3,16486
1112 övriga varaktiga varor,2009K4,19285
1112 övriga varaktiga varor,2010K1,14496
1112 övriga varaktiga varor,2010K2,17642
1112 övriga varaktiga varor,2010K3,17848
1112 övriga varaktiga varor,2010K4,20933
1112 övriga varaktiga varor,2011K1,15986
1112 övriga varaktiga varor,2011K2,18752
1112 övriga varaktiga varor,2011K3,18377
1112 övriga varaktiga varor,2011K4,21750
1112 övriga varaktiga varor,2012K1,17090
1112 övriga varaktiga varor,2012K2,19795
1112 övriga varaktiga varor,2012K3,19457
1112 övriga varaktiga varor,2012K4,22752
1112 övriga varaktiga varor,2013K1,17842
1112 övriga varaktiga varor,2013K2,20892
1112 övriga varaktiga varor,2013K3,20423
1112 övriga varaktiga varor,2013K4,24291
1112 övriga varaktiga varor,2014K1,19832
1112 övriga varaktiga varor,2014K2,23343
1112 övriga varaktiga varor,2014K3,22597
1112 övriga varaktiga varor,2014K4,27283
1112 övriga varaktiga varor,2015K1,22636
1112 övriga varaktiga varor,2015K2,27059
1112 övriga varaktiga varor,2015K3,25739
1112 övriga varaktiga varor,2015K4,31076
1112 övriga varaktiga varor,2016K1,24227
1112 övriga varaktiga varor,2016K2,29715
1112 övriga varaktiga varor,2016K3,27548
1112 övriga varaktiga varor,2016K4,32916
1112 övriga varaktiga varor,2017K1,26983
1112 övriga varaktiga varor,2017K2,32127
1112 övriga varaktiga varor,2017K3,29760
1112 övriga varaktiga varor,2017K4,36112
1112 övriga varaktiga varor,2018K1,28186
1112 övriga varaktiga varor,2018K2,33585
1112 övriga varaktiga varor,2018K3,32593
1112 övriga varaktiga varor,2018K4,38685
1112 övriga varaktiga varor,2019K1,27869
1112 övriga varaktiga varor,2019K2,35216
1112 övriga varaktiga varor,2019K3,33918
1112 övriga varaktiga varor,2019K4,39710
1112 övriga varaktiga varor,2020K1,30891
1112 övriga varaktiga varor,2020K2,38179
1112 övriga varaktiga varor,2020K3,37067
1112 övriga varaktiga varor,2020K4,44172
1112 övriga varaktiga varor,2021K1,37703
1112 övriga varaktiga varor,2021K2,47434
1112 övriga varaktiga varor,2021K3,43057
1112 övriga varaktiga varor,2021K4,48410
1112 övriga varaktiga varor,2022K1,37393
1112 övriga varaktiga varor,2022K2,44599
1112 övriga varaktiga varor,2022K3,40683
1112 övriga varaktiga varor,2022K4,44000
1112 övriga varaktiga varor,2023K1,32708
1112 övriga varaktiga varor,2023K2,39866
1112 övriga varaktiga varor,2023K3,37277
1112 övriga varaktiga varor,2023K4,41935
1112 övriga varaktiga varor,2024K1,30974
1112 övriga varaktiga varor,2024K2,39074
1112 övriga varaktiga varor,2024K3,36645
1112 övriga varaktiga varor,2024K4,42248
1112 övriga varaktiga varor,2025K1,34244
1112 övriga varaktiga varor,2025K2,43436
1112 övriga varaktiga varor,2025K3,41411
1112 övriga varaktiga varor,2025K4,50055
1112 övriga varaktiga varor,2026K1,37954
1112 övriga varaktiga varor,2026K2,49085
1120 delvis varaktiga varor,1981K1,18234
1120 delvis varaktiga varor,1981K2,21140
1120 delvis varaktiga varor,1981K3,18028
1120 delvis varaktiga varor,1981K4,23351
1120 delvis varaktiga varor,1982K1,18348
1120 delvis varaktiga varor,1982K2,21041
1120 delvis varaktiga varor,1982K3,17934
1120 delvis varaktiga varor,1982K4,23318
1120 delvis varaktiga varor,1983K1,17451
1120 delvis varaktiga varor,1983K2,20360
1120 delvis varaktiga varor,1983K3,17484
1120 delvis varaktiga varor,1983K4,22626
1120 delvis varaktiga varor,1984K1,18391
1120 delvis varaktiga varor,1984K2,20858
1120 delvis varaktiga varor,1984K3,17930
1120 delvis varaktiga varor,1984K4,22734
1120 delvis varaktiga varor,1985K1,18749
1120 delvis varaktiga varor,1985K2,21510
1120 delvis varaktiga varor,1985K3,19067
1120 delvis varaktiga varor,1985K4,24279
1120 delvis varaktiga varor,1986K1,19802
1120 delvis varaktiga varor,1986K2,23693
1120 delvis varaktiga varor,1986K3,21913
1120 delvis varaktiga varor,1986K4,27250
1120 delvis varaktiga varor,1987K1,22252
1120 delvis varaktiga varor,1987K2,26096
1120 delvis varaktiga varor,1987K3,23207
1120 delvis varaktiga varor,1987K4,29150
1120 delvis varaktiga varor,1988K1,23830
1120 delvis varaktiga varor,1988K2,26699
1120 delvis varaktiga varor,1988K3,24092
1120 delvis varaktiga varor,1988K4,29035
1120 delvis varaktiga varor,1989K1,24143
1120 delvis varaktiga varor,1989K2,27541
1120 delvis varaktiga varor,1989K3,24890
1120 delvis varaktiga varor,1989K4,29896
1120 delvis varaktiga varor,1990K1,25488
1120 delvis varaktiga varor,1990K2,28560
1120 delvis varaktiga varor,1990K3,25351
1120 delvis varaktiga varor,1990K4,29331
1120 delvis varaktiga varor,1991K1,26253
1120 delvis varaktiga varor,1991K2,28792
1120 delvis varaktiga varor,1991K3,25759
1120 delvis varaktiga varor,1991K4,30566
1120 delvis varaktiga varor,1992K1,25256
1120 delvis varaktiga varor,1992K2,26227
1120 delvis varaktiga varor,1992K3,24760
1120 delvis varaktiga varor,1992K4,28271
1120 delvis varaktiga varor,1993K1,22074
