region,quarter,Index
Greater Gothenburg,2012K1,691
Greater Gothenburg,2012K2,703
Greater Gothenburg,2012K3,713
Greater Gothenburg,2012K4,711
Greater Gothenburg,2013K1,715
Greater Gothenburg,2013K2,724
Greater Gothenburg,2013K3,750
Greater Gothenburg,2013K4,748
Greater Gothenburg,2014K1,763
Greater Gothenburg,2014K2,775
Greater Gothenburg,2014K3,786
Greater Gothenburg,2014K4,800
Greater Gothenburg,2015K1,826
Greater Gothenburg,2015K2,866
Greater Gothenburg,2015K3,885
Greater Gothenburg,2015K4,917
Greater Gothenburg,2016K1,886
Greater Gothenburg,2016K2,915
Greater Gothenburg,2016K3,939
Greater Gothenburg,2016K4,944
Greater Gothenburg,2017K1,989
Greater Gothenburg,2017K2,1019
Greater Gothenburg,2017K3,1040
Greater Gothenburg,2017K4,1037
Greater Gothenburg,2018K1,1025
Greater Gothenburg,2018K2,1016
Greater Gothenburg,2018K3,1003
Greater Gothenburg,2018K4,1012
Greater Gothenburg,2019K1,1052
Greater Gothenburg,2019K2,1036
Greater Gothenburg,2019K3,1057
Greater Gothenburg,2019K4,1073
Greater Gothenburg,2020K1,1074
Greater Gothenburg,2020K2,1073
Greater Gothenburg,2020K3,1100
Greater Gothenburg,2020K4,1140
Greater Gothenburg,2021K1,1178
Greater Gothenburg,2021K2,1245
Greater Gothenburg,2021K3,1308
Greater Gothenburg,2021K4,1335
Greater Gothenburg,2022K1,1324
Greater Gothenburg,2022K2,1401
Greater Gothenburg,2022K3,1352
Greater Gothenburg,2022K4,1267
Greater Gothenburg,2023K1,1197
Greater Gothenburg,2023K2,1165
Greater Gothenburg,2023K3,1171
Greater Gothenburg,2023K4,1162
Greater Gothenburg,2024K1,1143
Greater Gothenburg,2024K2,1146
Greater Gothenburg,2024K3,1173
Greater Gothenburg,2024K4,1181
Greater Gothenburg,2025K1,1226
Greater Gothenburg,2025K2,1216
Greater Gothenburg,2025K3,1218
Greater Gothenburg,2025K4,1241
Greater Gothenburg,2026K1,1199
Greater Malmö,1986K1,110
Greater Malmö,1986K2,113
Greater Malmö,1986K3,115
Greater Malmö,1986K4,118
Greater Malmö,1987K1,122
Greater Malmö,1987K2,126
Greater Malmö,1987K3,130
Greater Malmö,1987K4,135
Greater Malmö,1988K1,147
Greater Malmö,1988K2,153
Greater Malmö,1988K3,162
Greater Malmö,1988K4,171
Greater Malmö,1989K1,180
Greater Malmö,1989K2,190
Greater Malmö,1989K3,202
Greater Malmö,1989K4,209
Greater Malmö,1990K1,219
Greater Malmö,1990K2,224
Greater Malmö,1990K3,239
Greater Malmö,1990K4,240
Greater Malmö,1991K1,254
Greater Malmö,1991K2,255
Greater Malmö,1991K3,261
Greater Malmö,1991K4,261
Greater Malmö,1992K1,242
Greater Malmö,1992K2,238
Greater Malmö,1992K3,228
Greater Malmö,1992K4,212
Greater Malmö,1993K1,198
Greater Malmö,1993K2,198
Greater Malmö,1993K3,196
Greater Malmö,1993K4,198
Greater Malmö,1994K1,203
Greater Malmö,1994K2,205
Greater Malmö,1994K3,214
Greater Malmö,1994K4,210
Greater Malmö,1995K1,210
Greater Malmö,1995K2,205
Greater Malmö,1995K3,219
Greater Malmö,1995K4,205
Greater Malmö,1996K1,206
Greater Malmö,1996K2,214
Greater Malmö,1996K3,213
Greater Malmö,1996K4,214
Greater Malmö,1997K1,217
Greater Malmö,1997K2,230
Greater Malmö,1997K3,237
Greater Malmö,1997K4,236
Greater Malmö,1998K1,247
Greater Malmö,1998K2,253
Greater Malmö,1998K3,264
Greater Malmö,1998K4,277
Greater Malmö,1999K1,282
Greater Malmö,1999K2,303
Greater Malmö,1999K3,310
Greater Malmö,1999K4,308
Greater Malmö,2000K1,323
Greater Malmö,2000K2,338
Greater Malmö,2000K3,363
Greater Malmö,2000K4,361
Greater Malmö,2001K1,374
Greater Malmö,2001K2,371
Greater Malmö,2001K3,381
Greater Malmö,2001K4,371
Greater Malmö,2002K1,386
Greater Malmö,2002K2,399
Greater Malmö,2002K3,410
Greater Malmö,2002K4,415
Greater Malmö,2003K1,421
Greater Malmö,2003K2,442
Greater Malmö,2003K3,447
Greater Malmö,2003K4,465
Greater Malmö,2004K1,480
Greater Malmö,2004K2,494
Greater Malmö,2004K3,516
Greater Malmö,2004K4,514
Greater Malmö,2005K1,531
Greater Malmö,2005K2,543
Greater Malmö,2005K3,564
