date,value
1998-07-30,111.57468
1998-07-31,111.76371
1998-08-03,111.82201
1998-08-04,112.04692
1998-08-05,112.01229
1998-08-06,111.86782
1998-08-07,112.30242
1998-08-10,112.70249
1998-08-11,113.54102
1998-08-12,113.577
1998-08-13,113.61468
1998-08-14,113.30247
1998-08-17,113.70428
1998-08-18,113.46159
1998-08-19,113.3456
1998-08-20,113.10783
1998-08-21,113.48259
1998-08-24,113.34061
1998-08-25,114.34986
1998-08-26,114.93497
1998-08-27,114.57855
1998-08-28,114.62876
1998-08-31,112.67807
1998-09-01,113.75631
1998-09-02,111.54765
1998-09-03,111.84622
1998-09-04,111.58611
1998-09-07,112.16284
1998-09-08,112.6298
1998-09-09,112.21927
1998-09-10,113.5684
1998-09-11,114.92841
1998-09-14,113.78949
1998-09-15,113.17462
1998-09-16,112.22056
1998-09-17,112.53848
1998-09-18,112.17067
1998-09-21,113.33892
1998-09-22,114.51805
1998-09-23,114.01362
1998-09-24,114.04189
1998-09-25,113.99606
1998-09-28,114.4711
1998-09-29,113.60132
1998-09-30,113.77347
1998-10-01,114.26273
1998-10-02,114.79765
1998-10-05,118.46433
1998-10-06,117.42244
1998-10-07,116.6952
1998-10-08,116.06773
1998-10-09,117.75646
1998-10-12,116.99165
1998-10-13,115.98451
1998-10-14,117.36664
1998-10-15,117.87747
1998-10-16,117.22338
1998-10-19,115.73746
1998-10-20,115.80272
1998-10-21,115.06114
1998-10-22,114.55618
1998-10-23,114.68153
1998-10-26,113.68231
1998-10-27,113.15380999999999
1998-10-28,115.09949
1998-10-29,114.83272
1998-10-30,115.07977
1998-11-02,114.14799
1998-11-03,114.82832
1998-11-04,114.42403
1998-11-05,114.25644
1998-11-06,113.8311
1998-11-09,114.2128
1998-11-10,115.11061
1998-11-11,115.4543
1998-11-12,116.272
1998-11-13,116.98294
1998-11-16,117.29935
1998-11-17,116.97456
1998-11-18,116.66056
1998-11-19,117.1451
1998-11-20,116.90125
1998-11-23,116.4678
1998-11-24,116.13606
1998-11-25,116.55516
1998-11-26,117.86342
1998-11-27,117.11616
1998-11-30,116.80409
1998-12-01,117.39726
1998-12-02,117.30909
1998-12-03,117.54412
1998-12-04,116.60628
1998-12-07,117.77238
1998-12-08,118.13453
1998-12-09,117.30908
1998-12-10,117.15713
1998-12-11,118.3388
1998-12-14,117.3563
1998-12-15,117.39079
1998-12-16,116.95546
1998-12-17,116.82742
1998-12-18,117.63368
1998-12-21,116.70796
1998-12-22,116.41689
