country,quarter,gdp_growth_qoq
CHE,1996-Q2,-0.54315977
CHE,1996-Q3,-0.13538192
CHE,1996-Q4,0.309184117
CHE,1997-Q1,0.513975559
CHE,1997-Q2,0.921112784
CHE,1997-Q3,1.465235909
CHE,1997-Q4,0.453207904
CHE,1998-Q1,0.777311874
CHE,1998-Q2,1.155795845
CHE,1998-Q3,-0.143402676
CHE,1998-Q4,-0.655825702
CHE,1999-Q1,0.56846547
CHE,1999-Q2,0.520834825
CHE,1999-Q3,0.70860982
CHE,1999-Q4,2.348618436
CHE,2000-Q1,0.51712255
CHE,2000-Q2,0.297594127
CHE,2000-Q3,0.78010981
CHE,2000-Q4,1.244363247
CHE,2001-Q1,-0.086938586
CHE,2001-Q2,0.458461752
CHE,2001-Q3,-0.066113276
CHE,2001-Q4,-0.037895384
CHE,2002-Q1,0.084254732
CHE,2002-Q2,0.479572807
CHE,2002-Q3,0.139693908
CHE,2002-Q4,-0.709827574
CHE,2003-Q1,-0.613196586
CHE,2003-Q2,-0.082873436
CHE,2003-Q3,0.897417161
CHE,2003-Q4,1.089138746
CHE,2004-Q1,0.585595106
CHE,2004-Q2,0.720251837
CHE,2004-Q3,0.016373322
CHE,2004-Q4,0.342565367
CHE,2005-Q1,0.874813343
CHE,2005-Q2,1.195916203
CHE,2005-Q3,0.988868896
CHE,2005-Q4,0.988446398
CHE,2006-Q1,1.220258395
CHE,2006-Q2,0.864924539
CHE,2006-Q3,0.773363131
CHE,2006-Q4,1.376287313
CHE,2007-Q1,0.683081737
CHE,2007-Q2,1.423728387
CHE,2007-Q3,0.826590327
CHE,2007-Q4,0.563110608
CHE,2008-Q1,0.706563409
CHE,2008-Q2,1.089276132
CHE,2008-Q3,0.629004662
CHE,2008-Q4,-2.212284346
CHE,2009-Q1,-1.719438716
CHE,2009-Q2,0.355483612
CHE,2009-Q3,0.916593536
CHE,2009-Q4,0.52513349
CHE,2010-Q1,1.245186244
CHE,2010-Q2,0.757189406
CHE,2010-Q3,0.460369559
CHE,2010-Q4,0.749762353
CHE,2011-Q1,0.089723402
CHE,2011-Q2,0.755127443
CHE,2011-Q3,-0.512695104
CHE,2011-Q4,0.295894297
CHE,2012-Q1,0.39437992
CHE,2012-Q2,0.2722062
CHE,2012-Q3,0.792653117
CHE,2012-Q4,0.103221589
CHE,2013-Q1,0.3866766
CHE,2013-Q2,0.652005445
CHE,2013-Q3,0.768321851
CHE,2013-Q4,0.177669935
CHE,2014-Q1,0.684948918
CHE,2014-Q2,0.914703725
CHE,2014-Q3,0.592355443
CHE,2014-Q4,0.637709584
CHE,2015-Q1,-0.294891167
CHE,2015-Q2,0.20280294200000001
CHE,2015-Q3,0.726935502
CHE,2015-Q4,0.67954333
CHE,2016-Q1,0.542037227
CHE,2016-Q2,0.410821188
CHE,2016-Q3,0.385045078
CHE,2016-Q4,-0.241864184
CHE,2017-Q1,0.078107628
