quarter,gdp_growth,consumption_growth,debt_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,cpi_growth,policy_rate,exchange_rate_growth
2017K3,0.3,0.3,1.629408659358944,3.360140765268955,6.3,184.6,4,1.5258607360114418,0.5413963444605763,-0.5,-3.189065732239804
2017K4,0.6,0.9,1.3489307703089537,3.2872447294792564,3.5,184.6,3.9,-0.222320665487441,0.222320665487441,-0.5,2.1200153673468947
2018K1,0.5,0.7,1.216149692633195,3.279328581206837,13.4,183,3.8,-0.9495362675790986,0.050365148382702785,-0.5,1.0965352557450458
2018K2,0.6,0.8,1.441750591076385,3.321666742128231,19.9,186.9,3.3,-2.2351879551522735,1.0671019938766513,-0.5,3.843902675561761
2018K3,-0.2,-0.5,1.1601948371991355,3.371861309265591,8.3,186.5,3.8,-0.24081156391053682,0.7616460746243447,-0.5,0.03178477359959686
2018K4,1.3,0.7,1.501964243566789,3.1435644205910713,6.5,186.6,3.7,-0.32047014304321664,0.1905156088347404,-0.5,-0.5607961355857505
2019K1,0.3,-0.6,1.0506711095901622,3.310444692689134,15.7,186.6,3.8,0.4230172668119536,-0.16327686104347094,-0.2722222222222222,1.4978860249379444
2019K2,1.3,0.5,1.4087616131822855,3.368592568060409,22.8,186.8,3.4,0.06955380111790532,1.2191238265177873,-0.25,1.968744519002552
2019K3,-0.3,1.2,1.1724440707522987,3.400009492467222,9.1,186.9,4,1.7682086119209295,0.2597442831319796,-0.25,0.26892024775166945
2019K4,1.7,0.1,1.3392702040608384,3.4813667982577172,9.1,187.4,3.9,-0.14020416561830729,0.3908308632242452,-0.25,0.05532679003952268
2020K1,0,0.8,1.1560275140368503,3.2682814101204185,13.4,188.2,4,2.0031367816517154,-0.8830255061696768,-0.019230769230769232,-0.20506750887161473
2020K2,-8.8,-9.8,1.439966306451268,3.410811669557592,22.4,193.6,3.8,1.738138624064245,0.34399415729433613,0,-1.5288132670191246
2020K3,6,6.3,1.2814402325432184,3.543624219587472,11.7,195.6,4.2,1.911689636160574,0.720041195576826,0,-4.01697396632601
2020K4,1.4,-0.3,1.5393583567774982,3.6114277662007614,11.9,197.5,4,3.797436521919728,0.1382566064927815,0,-1.128432358289011
2021K1,2.6,2.1,1.3359261018029756,3.7543488000142005,20.9,197.4,3.8,3.239738272889525,0.32808719298929034,0,-1.1004095577202833
2021K2,0.4,1.3,1.9123240023306565,3.816891084899764,21.5,196.7,3.4,5.149016444217036,0.5972450416155795,0,0.3845195297325077
2021K3,-0.2,3.9,1.6130210641698284,3.7854443088617646,8.7,197.3,3.9,4.24123175540716,0.8984384103102094,0,0.9441010557190488
2021K4,2.1,0.9,1.7473105722054072,3.912825728049559,7.7,198,3.7,-1.2449007869935969,1.4411717037784655,0,0.036178040506484876
2022K1,-0.6,-0.4,1.3197162827147224,3.7263678426224756,18.1,196.8,3.3,-0.7303746910980458,1.6088576466713356,0,3.496310218450116
2022K2,1.1,1.5,1.4129968754931,3.407226913498946,19,194.4,3.2,-0.824438097026281,3.2249374237521167,0.15934065934065933,0.21646785379560995
2022K3,-0.5,-1.3,0.619667212194841,3.3269113887540005,5.7,192.8,4.5,-3.861695267996179,3.0041387977565392,0.8315217391304348,2.0041894068726585
2022K4,-1.1,-0.7,0.29539216194685025,3.3901728573593894,7.8,189.1,5.2,-9.316284480981007,3.09819887653644,2.010869565217391,1.7696518010867912
2023K1,1.2,-1.3,0.054648559973102806,3.5302515508366965,17.8,186.4,5.6,-6.175534538442307,1.4847319268379344,2.75,1.309398355475544
2023K2,-1,0.4,0.2546516189733339,3.5889925452499805,21.2,184,5.7,-3.2788552104855206,1.773450436928492,3.3241758241758244,1.43670061192811
2023K3,1.5,0,0.16247149923849236,3.499221757887679,9.1,181.3,7.2,-0.4302449044179646,1.0781953355166074,3.75,2.0775180605072663
2023K4,-1.6,0.9,-0.05384741013116923,3.5946885199751755,8.9,179.9,7.5,-2.1481446396135695,1.0658829937984393,4,-2.5113240123300073
2024K1,3,0.2,0.20033300016422118,3.8214588989596376,19.1,178.4,7.7,-1.6310059905035423,0.6468537060244195,4,-1.7151889871694692
2024K2,-1.3,0,0.4217195193886525,3.8968793486576083,23.8,176.5,6.9,0.6565919580941326,0.5449517163469864,3.870879120879121,1.7949713219500119
2024K3,0.8,0.5,0.38673469441050656,3.9509679324314546,10.2,175.5,7.9,2.492876184617554,-0.238352352511928,3.6385869565217392,-1.0781382643234139
2024K4,1.2,0.8,0.49388839922936967,3.9393088658185893,10.9,174.4,7,-0.9918921005742654,0.35291229069711605,2.9864130434782608,0.8802920963590921
2025K1,-0.5,0.4,0.5227754408984708,3.875569413906347,15.9,174.1,6.2,0.08967571766644866,0.23032455540068497,2.3666666666666667,-2.0957883578647696
2025K2,1.1,0.2,0.7871055578130282,3.9852301437023607,21.7,173.9,5.3,0.6844122844597678,0.05829669990173869,2.2335164835164836,-4.652887600454214
2025K3,0.4,1,0.6567991947953544,4.026287996914202,7.1,173.2,5.9,0.3484363129711454,0.28381026097754614,2,0.5640428819724264
2025K4,0.8,0.6,0.734734719821617,4.070435151347668,8,172.7,5.5,-1.0825488550531226,-0.07964066554544402,1.75,-1.5519186117963102
