quarter,gdp_growth,consumption_growth,debt_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,policy_rate
2002K2,1.2,0.1,2.008479426476306,2.735177952652987,10.8,112.2,5.7,1.876262640047166,4.1625
2002K3,-0.2,0.1,1.8729768307244044,2.662748745249587,4,112.8,6.5,3.6857955766083528,4.25
2002K4,0.1,0.4,1.55709741873018,2.739285503460186,-4.1,113.9,6.4,-0.40665063304077265,4.100806451612903
2003K1,1.3,0.2,0.2618649561078712,2.8067493314748355,2.6,115.1,6.4,-0.4416510235457416,3.713709677419355
2003K2,-0.2,0.5,1.9496141924818744,2.929958675605179,10.6,117,5.4,2.122937188735108,3.389830508474576
2003K3,0.9,0.9,2.861054437042654,2.898597474723749,3.5,118.4,5.8,2.506520688387859,2.772727272727273
2003K4,0.5,0.7,2.6169833298023804,2.8787150345483354,-5.7,121,6,0.48438159336896547,2.75
2004K1,1.7,1.4,0.42767294566417036,2.933880406013496,1.2,122.8,5.9,2.2370380354955977,2.607142857142857
2004K2,0.7,-0.5,2.5108599153925937,2.8635698463357775,7.6,126.2,5.1,3.6399059810168666,2.033333333333333
2004K3,0.8,0.9,3.1258772454513917,2.8101840857060645,2.8,128.2,5.5,2.4390556445190725,2
2004K4,0.4,0.6,3.0829320366303037,2.79712715616999,-5,131.2,5.6,0.7652046213806329,2
2005K1,0.4,1,0.9984179603115706,2.887380441680234,2.1,132.8,5.6,0.896883502223389,2
2005K2,0.9,0.6,3.119881577726069,2.9914360685960606,9.5,134.4,4.7,3.0323162011246296,1.9516129032258065
2005K3,1.4,1.8,3.1812205628375168,3.064155482953611,-1.1,137.3,5.2,3.865995535275868,1.5
2005K4,0.1,0,2.8961454062420344,3.05809686792352,-5,139.6,5.1,1.4631001836095336,1.5
2006K1,1.9,0.3,1.4584701733355132,3.2102317897888595,3.6,140.6,5.2,3.496656767216244,1.77734375
2006K2,1.7,1.3,3.6846688241887193,3.0127061951719742,13.1,141.8,4.6,1.87592569520465,2.0296610169491527
2006K3,0.9,0.6,2.313261308845327,3.0928433456937117,1.4,143.4,5.6,2.906496613072296,2.3192307692307694
2006K4,0.9,1.4,2.9700290205946445,3.126085614527908,-3.8,145.6,5.9,0.17682649657695393,2.6865079365079363
2007K1,0.5,0.9,0.625597637034403,3.2660281228791876,6.5,145.5,6.3,0.8008325118574966,3.109375
