type of use,quarter,"Constant prices, reference year 2025, SEK million"
-- imports of services,2014K3,169571
-- imports of services,2014K4,195918
-- imports of services,2015K1,174984
-- imports of services,2015K2,176639
-- imports of services,2015K3,181080
-- imports of services,2015K4,201897
-- imports of services,2016K1,187791
-- imports of services,2016K2,194136
-- imports of services,2016K3,188575
-- imports of services,2016K4,200662
-- imports of services,2017K1,186837
-- imports of services,2017K2,200186
-- imports of services,2017K3,205718
-- imports of services,2017K4,213650
-- imports of services,2018K1,197195
-- imports of services,2018K2,196151
-- imports of services,2018K3,205594
-- imports of services,2018K4,223294
-- imports of services,2019K1,212272
-- imports of services,2019K2,220415
-- imports of services,2019K3,221036
-- imports of services,2019K4,228261
-- imports of services,2020K1,209290
-- imports of services,2020K2,178964
-- imports of services,2020K3,182937
-- imports of services,2020K4,215650
-- imports of services,2021K1,203980
-- imports of services,2021K2,212483
-- imports of services,2021K3,234224
-- imports of services,2021K4,267410
-- imports of services,2022K1,255130
-- imports of services,2022K2,280918
-- imports of services,2022K3,293330
-- imports of services,2022K4,308810
-- imports of services,2023K1,287532
-- imports of services,2023K2,290105
-- imports of services,2023K3,283314
-- imports of services,2023K4,329002
-- imports of services,2024K1,294409
-- imports of services,2024K2,305748
-- imports of services,2024K3,315371
-- imports of services,2024K4,342330
-- imports of services,2025K1,306883
-- imports of services,2025K2,336567
-- imports of services,2025K3,340985
-- imports of services,2025K4,358147
-- imports of services,2026K1,334119
Total resources,1980K1,NA
Total resources,1980K2,NA
Total resources,1980K3,NA
Total resources,1980K4,NA
Total resources,1981K1,770750
Total resources,1981K2,799732
Total resources,1981K3,753489
Total resources,1981K4,855001
Total resources,1982K1,787618
Total resources,1982K2,819248
Total resources,1982K3,758625
Total resources,1982K4,881603
Total resources,1983K1,796865
Total resources,1983K2,824718
Total resources,1983K3,775441
Total resources,1983K4,905633
Total resources,1984K1,850861
Total resources,1984K2,866725
Total resources,1984K3,802771
Total resources,1984K4,932430
Total resources,1985K1,868641
Total resources,1985K2,904061
Total resources,1985K3,844561
Total resources,1985K4,959253
Total resources,1986K1,888719
Total resources,1986K2,942046
Total resources,1986K3,872398
Total resources,1986K4,988644
Total resources,1987K1,924393
Total resources,1987K2,967189
Total resources,1987K3,912420
Total resources,1987K4,1047062
Total resources,1988K1,974759
Total resources,1988K2,1002063
Total resources,1988K3,926144
Total resources,1988K4,1067748
Total resources,1989K1,1002958
Total resources,1989K2,1045824
Total resources,1989K3,963250
Total resources,1989K4,1104891
Total resources,1990K1,1028374
Total resources,1990K2,1057913
Total resources,1990K3,963772
Total resources,1990K4,1090982
Total resources,1991K1,1003669
Total resources,1991K2,1024904
Total resources,1991K3,956816
Total resources,1991K4,1074306
Total resources,1992K1,1022485
Total resources,1992K2,1019940
Total resources,1992K3,963375
Total resources,1992K4,1032268
Total resources,1993K1,965908
Total resources,1993K2,991959
Total resources,1993K3,928170
Total resources,1993K4,1069223
Total resources,1994K1,1011735
Total resources,1994K2,1051265
Total resources,1994K3,973551
Total resources,1994K4,1153308
Total resources,1995K1,1087518
Total resources,1995K2,1101407
Total resources,1995K3,1018032
Total resources,1995K4,1184989
Total resources,1996K1,1115518
Total resources,1996K2,1117676
Total resources,1996K3,1042582
Total resources,1996K4,1210608
Total resources,1997K1,1121390
Total resources,1997K2,1201440
Total resources,1997K3,1110164
Total resources,1997K4,1288737
Total resources,1998K1,1211292
Total resources,1998K2,1253732
Total resources,1998K3,1175269
Total resources,1998K4,1360286
Total resources,1999K1,1260202
Total resources,1999K2,1309081
Total resources,1999K3,1232257
Total resources,1999K4,1426673
Total resources,2000K1,1339071
Total resources,2000K2,1409289
Total resources,2000K3,1324883
Total resources,2000K4,1503775
Total resources,2001K1,1406898
Total resources,2001K2,1413084
Total resources,2001K3,1306790
Total resources,2001K4,1484044
Total resources,2002K1,1394837
Total resources,2002K2,1455756
Total resources,2002K3,1330968
Total resources,2002K4,1507454
Total resources,2003K1,1427843
Total resources,2003K2,1466410
Total resources,2003K3,1368273
Total resources,2003K4,1554103
Total resources,2004K1,1472982
Total resources,2004K2,1547378
Total resources,2004K3,1435574
Total resources,2004K4,1644710
Total resources,2005K1,1505123
Total resources,2005K2,1617948
Total resources,2005K3,1497032
Total resources,2005K4,1716292
Total resources,2006K1,1616979
Total resources,2006K2,1689425
Total resources,2006K3,1575391
Total resources,2006K4,1812807
Total resources,2007K1,1705746
Total resources,2007K2,1771130
Total resources,2007K3,1658124
Total resources,2007K4,1884776
Total resources,2008K1,1750169
